datetime,target
2022-01-01 00:00:00,0.697
2022-01-01 01:00:00,4.413
2022-01-01 02:00:00,5.362
2022-01-01 03:00:00,4.879
2022-01-01 04:00:00,6.309
2022-01-01 05:00:00,23.765
2022-01-01 06:00:00,49.079
2022-01-01 07:00:00,70.835
2022-01-01 08:00:00,78.079
2022-01-01 09:00:00,79.379
2022-01-01 10:00:00,79.393
2022-01-01 11:00:00,79.619
2022-01-01 12:00:00,79.603
2022-01-01 13:00:00,79.651
2022-01-01 14:00:00,79.661
2022-01-01 15:00:00,79.66
2022-01-01 16:00:00,79.659
2022-01-01 17:00:00,76.462
2022-01-01 18:00:00,73.927
2022-01-01 19:00:00,59.103
2022-01-01 20:00:00,48.683
2022-01-01 21:00:00,44.269
2022-01-01 22:00:00,47.946
2022-01-01 23:00:00,31.995
2022-01-02 00:00:00,36.902
2022-01-02 01:00:00,35.181
2022-01-02 02:00:00,21.152
2022-01-02 03:00:00,26.96
2022-01-02 04:00:00,40.817
2022-01-02 05:00:00,32.624
2022-01-02 06:00:00,35.332
2022-01-02 07:00:00,15.042
2022-01-02 08:00:00,16.45
2022-01-02 09:00:00,40.074
2022-01-02 10:00:00,58.72
2022-01-02 11:00:00,58.659
2022-01-02 12:00:00,68.708
2022-01-02 13:00:00,58.707
2022-01-02 14:00:00,47.497
2022-01-02 15:00:00,65.037
2022-01-02 16:00:00,72.841
2022-01-02 17:00:00,71.308
2022-01-02 18:00:00,59.396
2022-01-02 19:00:00,68.415
2022-01-02 20:00:00,35.491
2022-01-02 21:00:00,24.492
2022-01-02 22:00:00,16.796
2022-01-02 23:00:00,12.961
2022-01-03 00:00:00,3.611
2022-01-03 01:00:00,1.267
2022-01-03 02:00:00,0.427
2022-01-03 04:00:00,0.291
2022-01-03 05:00:00,2.763
2022-01-03 06:00:00,10.332
2022-01-03 07:00:00,16.361
2022-01-03 08:00:00,21.851
2022-01-03 09:00:00,30.027
2022-01-03 10:00:00,51.253
2022-01-03 11:00:00,63.223
2022-01-03 12:00:00,72.109
2022-01-03 13:00:00,65.246
2022-01-03 14:00:00,67.387
2022-01-03 15:00:00,78.571
2022-01-03 16:00:00,81.44
2022-01-03 17:00:00,83.226
2022-01-03 18:00:00,82.683
2022-01-03 19:00:00,83.105
2022-01-03 20:00:00,83.286
2022-01-03 21:00:00,81.877
2022-01-03 22:00:00,81.85
2022-01-03 23:00:00,79.626
2022-01-04 00:00:00,79.626
2022-01-04 01:00:00,79.639
2022-01-04 02:00:00,78.092
2022-01-04 03:00:00,76.043
2022-01-04 04:00:00,76.026
2022-01-04 05:00:00,76.02
2022-01-04 06:00:00,72.946
2022-01-04 07:00:00,72.375
2022-01-04 08:00:00,71.799
2022-01-04 09:00:00,75.275
2022-01-04 10:00:00,77.018
2022-01-04 11:00:00,77.131
2022-01-04 12:00:00,76.488
2022-01-04 13:00:00,78.071
2022-01-04 14:00:00,78.545
2022-01-04 15:00:00,79.238
2022-01-04 16:00:00,66.68
2022-01-04 17:00:00,42.087
2022-01-04 18:00:00,44.647
2022-01-04 19:00:00,59.469
2022-01-04 20:00:00,52.037
2022-01-04 21:00:00,42.177
2022-01-04 22:00:00,15.175
2022-01-04 23:00:00,3.931
2022-01-05 00:00:00,7.618
2022-01-05 01:00:00,7.067
2022-01-05 02:00:00,8.151
2022-01-05 03:00:00,9.319
2022-01-05 04:00:00,9.224
2022-01-05 05:00:00,23.574
2022-01-05 06:00:00,21.336
2022-01-05 07:00:00,23.334
2022-01-05 08:00:00,25.259
2022-01-05 09:00:00,20.435
2022-01-05 10:00:00,25.962
2022-01-05 11:00:00,32.22
2022-01-05 12:00:00,54.182
2022-01-05 13:00:00,64.417
2022-01-05 14:00:00,72.619
2022-01-05 15:00:00,74.633
2022-01-05 16:00:00,76.002
2022-01-05 17:00:00,77.439
2022-01-05 18:00:00,79.641
2022-01-05 19:00:00,75.2
2022-01-05 20:00:00,75.773
2022-01-05 21:00:00,76.025
2022-01-05 22:00:00,76.034
2022-01-05 23:00:00,76.037
2022-01-06 00:00:00,76.029
2022-01-06 01:00:00,76.021
2022-01-06 02:00:00,75.939
2022-01-06 03:00:00,75.751
2022-01-06 04:00:00,75.996
2022-01-06 05:00:00,76.017
2022-01-06 06:00:00,76.013
2022-01-06 07:00:00,76.004
2022-01-06 08:00:00,79.4
2022-01-06 09:00:00,79.585
2022-01-06 10:00:00,77.726
2022-01-06 11:00:00,79.633
2022-01-06 12:00:00,79.642
2022-01-06 13:00:00,79.651
2022-01-06 14:00:00,79.338
2022-01-06 15:00:00,78.533
2022-01-06 16:00:00,78.696
2022-01-06 17:00:00,76.111
2022-01-06 18:00:00,77.063
2022-01-06 19:00:00,70.584
2022-01-06 20:00:00,65.381
2022-01-06 21:00:00,77.153
2022-01-06 22:00:00,72.62
2022-01-06 23:00:00,73.206
2022-01-07 00:00:00,72.593
2022-01-07 01:00:00,75.19
2022-01-07 02:00:00,73.589
2022-01-07 03:00:00,69.347
2022-01-07 04:00:00,64.402
2022-01-07 05:00:00,65.497
2022-01-07 06:00:00,50.941
2022-01-07 07:00:00,48.199
2022-01-07 08:00:00,30.35
2022-01-07 09:00:00,39.831
2022-01-07 10:00:00,33.042
2022-01-07 11:00:00,31.449
2022-01-07 12:00:00,34.626
2022-01-07 13:00:00,28.724
2022-01-07 14:00:00,23.129
2022-01-07 15:00:00,11.293
2022-01-07 16:00:00,11.836
2022-01-07 17:00:00,21.864
2022-01-07 18:00:00,24.434
2022-01-07 19:00:00,22.044
2022-01-07 20:00:00,35.628
2022-01-07 21:00:00,32.597
2022-01-07 22:00:00,33.753
2022-01-07 23:00:00,17.878
2022-01-08 00:00:00,9.358
2022-01-08 01:00:00,8.916
2022-01-08 02:00:00,22.332
2022-01-08 03:00:00,27.614
2022-01-08 04:00:00,34.226
2022-01-08 05:00:00,27.044
2022-01-08 06:00:00,29.492
2022-01-08 07:00:00,40.827
2022-01-08 08:00:00,46.211
2022-01-08 09:00:00,41.28
2022-01-08 10:00:00,22.299
2022-01-08 11:00:00,20.029
2022-01-08 12:00:00,25.282
2022-01-08 13:00:00,29.63
2022-01-08 14:00:00,42.433
2022-01-08 15:00:00,49.582
2022-01-08 16:00:00,48.628
2022-01-08 17:00:00,65.296
2022-01-08 18:00:00,74.589
2022-01-08 19:00:00,74.078
2022-01-08 20:00:00,71.901
2022-01-08 21:00:00,71.119
2022-01-08 22:00:00,60.0
2022-01-08 23:00:00,58.02
2022-01-09 00:00:00,60.843
2022-01-09 01:00:00,62.737
2022-01-09 02:00:00,70.543
2022-01-09 03:00:00,62.65
2022-01-09 04:00:00,64.597
2022-01-09 05:00:00,69.371
2022-01-09 06:00:00,61.831
2022-01-09 07:00:00,66.276
2022-01-09 08:00:00,58.279
2022-01-09 09:00:00,70.53
2022-01-09 10:00:00,71.623
2022-01-09 11:00:00,68.439
2022-01-09 12:00:00,68.628
2022-01-09 13:00:00,69.891
2022-01-09 14:00:00,68.084
2022-01-09 15:00:00,66.0
2022-01-09 16:00:00,70.806
2022-01-09 17:00:00,78.434
2022-01-09 18:00:00,79.614
2022-01-09 19:00:00,79.448
2022-01-09 20:00:00,75.969
2022-01-09 21:00:00,75.964
2022-01-09 22:00:00,72.723
2022-01-09 23:00:00,55.463
2022-01-10 00:00:00,61.0
2022-01-10 01:00:00,55.009
2022-01-10 02:00:00,39.836
2022-01-10 03:00:00,36.476
2022-01-10 04:00:00,33.904
2022-01-10 05:00:00,55.995
2022-01-10 06:00:00,63.669
2022-01-10 07:00:00,52.768
2022-01-10 08:00:00,43.359
2022-01-10 09:00:00,53.633
2022-01-10 10:00:00,54.611
2022-01-10 11:00:00,47.362
2022-01-10 12:00:00,38.167
2022-01-10 13:00:00,37.71
2022-01-10 14:00:00,23.952
2022-01-10 15:00:00,16.515
2022-01-10 16:00:00,25.411
2022-01-10 17:00:00,21.566
2022-01-10 18:00:00,22.653
2022-01-10 19:00:00,26.791
2022-01-10 20:00:00,24.396
2022-01-10 21:00:00,20.973
2022-01-10 22:00:00,20.06
2022-01-10 23:00:00,21.25
2022-01-11 00:00:00,20.35
2022-01-11 01:00:00,23.688
2022-01-11 02:00:00,24.843
2022-01-11 03:00:00,10.506
2022-01-11 04:00:00,22.367
2022-01-11 05:00:00,32.631
2022-01-11 06:00:00,29.242
2022-01-11 07:00:00,24.771
2022-01-11 08:00:00,22.55
2022-01-11 09:00:00,16.925
2022-01-11 10:00:00,16.938
2022-01-11 11:00:00,13.306
2022-01-11 12:00:00,14.141
2022-01-11 13:00:00,19.897
2022-01-11 14:00:00,14.291
2022-01-11 15:00:00,17.653
2022-01-11 16:00:00,44.101
2022-01-11 17:00:00,39.14
2022-01-11 18:00:00,38.218
2022-01-11 19:00:00,35.705
2022-01-11 20:00:00,27.339
2022-01-11 21:00:00,24.014
2022-01-11 22:00:00,23.91
2022-01-11 23:00:00,21.103
2022-01-12 00:00:00,22.84
2022-01-12 01:00:00,16.558
2022-01-12 02:00:00,38.291
2022-01-12 03:00:00,31.77
2022-01-12 04:00:00,42.712
2022-01-12 05:00:00,39.536
2022-01-12 06:00:00,32.405
2022-01-12 07:00:00,26.571
2022-01-12 08:00:00,30.709
2022-01-12 09:00:00,27.129
2022-01-12 10:00:00,27.168
2022-01-12 11:00:00,28.095
2022-01-12 12:00:00,20.926
2022-01-12 13:00:00,18.252
2022-01-12 14:00:00,16.017
2022-01-12 15:00:00,25.529
2022-01-12 16:00:00,23.023
2022-01-12 17:00:00,22.352
